,new_cases
98109,2208.0
98110,1574.0
98111,1594.0
98112,1336.0
98113,1046.0
98114,1190.0
98115,98.0
98116,2439.0
98117,1082.0
98118,1132.0
98119,925.0
98120,
98121,0.0
98122,0.0
98123,4517.0
98124,833.0
98125,729.0
98126,552.0
98127,466.0
98128,510.0
98129,635.0
98130,
98131,1781.0
98132,492.0
98133,406.0
98134,294.0
98135,360.0
98136,408.0
98137,340.0
98138,394.0
98139,345.0
98140,291.0
